DateKey,Date,Year,Quarter,MonthNumber,Month,YearMonth,FiscalYear,FiscalQuarter
20180501,2018-05-01,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180502,2018-05-02,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180503,2018-05-03,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180504,2018-05-04,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180505,2018-05-05,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180506,2018-05-06,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180507,2018-05-07,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180508,2018-05-08,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180509,2018-05-09,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180510,2018-05-10,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180511,2018-05-11,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180512,2018-05-12,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180513,2018-05-13,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180514,2018-05-14,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180515,2018-05-15,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180516,2018-05-16,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180517,2018-05-17,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180518,2018-05-18,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180519,2018-05-19,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180520,2018-05-20,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180521,2018-05-21,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180522,2018-05-22,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180523,2018-05-23,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180524,2018-05-24,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180525,2018-05-25,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180526,2018-05-26,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180527,2018-05-27,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180528,2018-05-28,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180529,2018-05-29,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
20180530,2018-05-30,2018,Q2,5,May,2018-05,FY2018,FY2018 Q4
